year,quarter_code,quarter_period,region_ar,region_en,index_value,qoq_change_pct,yoy_change_pct
2022,Q2,2022Q2,الحدود الشمالية,Northern Borders,96.94,-1.3,7.2
2022,Q2,2022Q2,جازان,Jazan,96.83,3.4,-1.2
2022,Q2,2022Q2,نجران,Najran,87.16,1.8,0.7
2022,Q2,2022Q2,الباحة,Al Baha,97.69,-6.6,-20.9
2022,Q2,2022Q2,الجوف,Al Jouf,95.11,3.6,0.5
2022,Q3,2022Q3,عام (المملكة),Kingdom (General),97.5,2.0,13.1
2022,Q3,2022Q3,الرياض,Riyadh,93.32,1.6,17.2
2022,Q3,2022Q3,مكة المكرمة,Makkah,102.66,6.3,15.3
2022,Q3,2022Q3,المدينة المنورة,Madinah,97.66,-1.2,5.0
2022,Q3,2022Q3,القصيم,Al Qaseem,104.0,5.0,14.8
2022,Q3,2022Q3,المنطقة الشرقية,Eastern Province,102.67,-2.1,4.3
2022,Q3,2022Q3,عسير,Aseer,96.6,1.1,3.0
2022,Q3,2022Q3,تبوك,Tabouk,93.6,3.7,2.4
2022,Q3,2022Q3,حائل,Hail,98.85,-0.3,3.5
2022,Q3,2022Q3,الحدود الشمالية,Northern Borders,103.55,6.8,13.4
2022,Q3,2022Q3,جازان,Jazan,97.39,0.6,3.0
2022,Q3,2022Q3,نجران,Najran,88.92,2.0,-0.3
2022,Q3,2022Q3,الباحة,Al Baha,93.36,-4.4,-16.3
2022,Q3,2022Q3,الجوف,Al Jouf,98.09,3.1,-0.2
2022,Q4,2022Q4,عام (المملكة),Kingdom (General),97.22,-0.3,9.1
2022,Q4,2022Q4,الرياض,Riyadh,95.65,2.5,13.5
2022,Q4,2022Q4,مكة المكرمة,Makkah,100.54,-2.1,11.0
2022,Q4,2022Q4,المدينة المنورة,Madinah,98.35,0.7,2.8
2022,Q4,2022Q4,القصيم,Al Qaseem,100.77,-3.1,9.7
2022,Q4,2022Q4,المنطقة الشرقية,Eastern Province,96.48,-6.0,-2.4
2022,Q4,2022Q4,عسير,Aseer,98.4,1.9,4.5
2022,Q4,2022Q4,تبوك,Tabouk,92.16,-1.5,2.3
2022,Q4,2022Q4,حائل,Hail,101.78,3.0,4.6
2022,Q4,2022Q4,الحدود الشمالية,Northern Borders,101.67,-1.8,10.0
2022,Q4,2022Q4,جازان,Jazan,97.67,0.3,2.1
2022,Q4,2022Q4,نجران,Najran,90.99,2.3,3.3
2022,Q4,2022Q4,الباحة,Al Baha,102.12,9.4,-11.1
2022,Q4,2022Q4,الجوف,Al Jouf,95.36,-2.8,-2.6
2023,Q1,2023Q1,عام (المملكة),Kingdom (General),99.22,2.1,8.7
2023,Q1,2023Q1,الرياض,Riyadh,97.63,2.1,11.6
2023,Q1,2023Q1,مكة المكرمة,Makkah,100.68,0.1,8.8
2023,Q1,2023Q1,المدينة المنورة,Madinah,99.21,0.9,3.4
2023,Q1,2023Q1,القصيم,Al Qaseem,101.71,0.9,6.3
2023,Q1,2023Q1,المنطقة الشرقية,Eastern Province,101.09,4.8,2.2
2023,Q1,2023Q1,عسير,Aseer,102.27,3.9,7.7
2023,Q1,2023Q1,تبوك,Tabouk,95.63,3.8,6.1
2023,Q1,2023Q1,حائل,Hail,101.84,0.1,5.8
2023,Q1,2023Q1,الحدود الشمالية,Northern Borders,99.04,-2.6,0.8
2023,Q1,2023Q1,جازان,Jazan,99.76,2.1,6.6
2023,Q1,2023Q1,نجران,Najran,98.29,8.0,14.8
2023,Q1,2023Q1,الباحة,Al Baha,101.77,-0.3,-2.7
2023,Q1,2023Q1,الجوف,Al Jouf,100.62,5.5,9.6
2023,Q2,2023Q2,عام (المملكة),Kingdom (General),100.22,1.0,4.9
2023,Q2,2023Q2,الرياض,Riyadh,99.93,2.4,8.7
2023,Q2,2023Q2,مكة المكرمة,Makkah,100.65,0.0,4.2
2023,Q2,2023Q2,المدينة المنورة,Madinah,102.88,3.7,4.0
2023,Q2,2023Q2,القصيم,Al Qaseem,98.39,-3.3,-0.6
2023,Q2,2023Q2,المنطقة الشرقية,Eastern Province,100.16,-0.9,-4.5
2023,Q2,2023Q2,عسير,Aseer,100.56,-1.7,5.3
2023,Q2,2023Q2,تبوك,Tabouk,99.74,4.3,10.5
2023,Q2,2023Q2,حائل,Hail,99.64,-2.2,0.5
2023,Q2,2023Q2,الحدود الشمالية,Northern Borders,98.44,-0.6,1.5
2023,Q2,2023Q2,جازان,Jazan,97.73,-2.0,0.9
2023,Q2,2023Q2,نجران,Najran,105.13,7.0,20.6
2023,Q2,2023Q2,الباحة,Al Baha,105.86,4.0,8.4
